Time from [CET/CEST],Time to [CET/CEST],Load [MW]
2021-01-05 07:15:00,2021-01-05 07:30:00,7660.000
2021-01-05 07:30:00,2021-01-05 07:45:00,7772.000
2021-01-05 07:45:00,2021-01-05 08:00:00,7852.000
2021-01-05 08:00:00,2021-01-05 08:15:00,7952.000
2021-01-05 08:15:00,2021-01-05 08:30:00,8008.000
2021-01-05 08:30:00,2021-01-05 08:45:00,8060.000
2021-01-05 08:45:00,2021-01-05 09:00:00,8100.000
2021-01-05 09:00:00,2021-01-05 09:15:00,8112.000
2021-01-05 09:15:00,2021-01-05 09:30:00,8132.000
2021-01-05 09:30:00,2021-01-05 09:45:00,8160.000
2021-01-05 09:45:00,2021-01-05 10:00:00,8176.000
2021-01-05 10:00:00,2021-01-05 10:15:00,8192.000
2021-01-05 10:15:00,2021-01-05 10:30:00,8212.000
2021-01-05 10:30:00,2021-01-05 10:45:00,8232.000
2021-01-05 10:45:00,2021-01-05 11:00:00,8256.000
2021-01-05 11:00:00,2021-01-05 11:15:00,8244.000
2021-01-05 11:15:00,2021-01-05 11:30:00,8280.000
2021-01-05 11:30:00,2021-01-05 11:45:00,8272.000
2021-01-05 11:45:00,2021-01-05 12:00:00,8248.000
2021-01-05 12:00:00,2021-01-05 12:15:00,8228.000
2021-01-05 12:15:00,2021-01-05 12:30:00,8144.000
2021-01-05 12:30:00,2021-01-05 12:45:00,8080.000
2021-01-05 12:45:00,2021-01-05 13:00:00,8044.000
2021-01-05 13:00:00,2021-01-05 13:15:00,8040.000
2021-01-05 13:15:00,2021-01-05 13:30:00,8000.000
2021-01-05 13:30:00,2021-01-05 13:45:00,7956.000
2021-01-05 13:45:00,2021-01-05 14:00:00,7920.000
2021-01-05 14:00:00,2021-01-05 14:15:00,7904.000
2021-01-05 14:15:00,2021-01-05 14:30:00,7892.000
2021-01-05 14:30:00,2021-01-05 14:45:00,7872.000
2021-01-05 14:45:00,2021-01-05 15:00:00,7864.000
2021-01-05 15:00:00,2021-01-05 15:15:00,7880.000
2021-01-05 15:15:00,2021-01-05 15:30:00,7888.000
