country,model_family,hour_of_day,n_observations,mae,rmse,mape
Austria,Regression with ARIMA errors,20,365,646.2485718760356,850.5878321370651,9.124820552247307
Austria,Regression with ARIMA errors,21,365,652.3012869305259,839.0379885399968,9.723683263162432
Austria,Regression with ARIMA errors,22,365,625.5458814757015,794.3389890907224,9.645215145112118
Austria,Regression with ARIMA errors,23,365,616.1341083922129,778.6744313226353,10.17636735326173
Austria,SMARD,0,365,261.26041095890406,353.06648057480544,4.479052838736312
Austria,SMARD,1,365,258.35589041095886,348.3797107510908,4.635979531158007
Austria,SMARD,2,365,246.74780821917807,337.32646654872275,4.488164627839437
Austria,SMARD,3,365,244.59821917808222,334.14707697052387,4.498828932602808
Austria,SMARD,4,365,237.88123287671235,327.83481345177313,4.295452390525479
Austria,SMARD,5,365,241.23794520547943,338.8742856467612,4.0313859055838845
Austria,SMARD,6,365,272.47726027397266,390.1702325522323,4.132919784650092
Austria,SMARD,7,365,316.0476712328767,445.2292596601601,4.519727304028064
Austria,SMARD,8,365,352.6460273972603,475.9654386411076,4.83429996328802
Austria,SMARD,9,365,394.1032876712329,515.0019424886893,5.3426231275427325
Austria,SMARD,10,365,447.5824657534247,578.8830840033291,6.054886244323267
Austria,SMARD,11,365,481.39424657534244,630.647405796897,6.56319437677784
Austria,SMARD,12,365,497.01767123287675,649.6937300632981,6.986263677802934
Austria,SMARD,13,365,499.24972602739723,649.1027361589544,7.115374391118906
Austria,SMARD,14,365,490.47452054794525,624.5659038127837,7.133538210247301
Austria,SMARD,15,365,481.6865753424657,602.9822038310801,7.015920341730371
Austria,SMARD,16,365,452.1806849315069,561.9926560786193,6.480779625714288
Austria,SMARD,17,365,394.1267123287671,499.5717664584997,5.526261811691365
Austria,SMARD,18,365,336.8549315068493,446.87841054929976,4.695892458649102
Austria,SMARD,19,365,287.8686301369863,386.91578214464545,4.001883696655936
Austria,SMARD,20,365,244.30164383561646,333.0019608317768,3.460824551127008
Austria,SMARD,21,365,226.9271232876712,308.65304977755574,3.3902341123745203
Austria,SMARD,22,365,222.21397260273972,304.25246197268206,3.4164773083170763
Austria,SMARD,23,365,218.74205479452056,303.63697810478016,3.588586709204436
